Date,005930,000660,035420,207940,035720,051910,006400,005380,000270,323410,068270,259960,005490,105560,302440,012330,028260,066570,034730,096770,055550,051900,036570,352820,015760,009150,003670,003550,017670,032830,086790,011200,033780,018260,361610,251270,034020,402340,000810,003490,316140,010130,090430,010950,030200,024110,011790,326030,011070,034220,018880,011170,009830,009540,032640,020150,006800,086280,097950,000720,004020,021240,011780,161390,035250,010140,267250,071050,028050,000100,016360,271560,139480,003410,029780,005940,005830,078930,241560,180640,002790,014680,008930,008560,006360,026960,336260,052690,036460,000990,128940,007070,004990,000120,008770,028670,012750,010620,010060,047810,298050,272210,138930,002380,006280,030000,039490,285130,088350,204320,282330,042660,000880,001040,112610,047040,047050,023530,001450,004170,012450,375500,081660,093370,298020,064350,000080,004000,120110,009240,011210,004800,000150,003090,111770,051600,019170,001440,004370,006260,007310,069960,014820,017800,069620,010120,000240,001230,294870,020560,007700,000210,000670,001740,005250,185750,010780,013890,079550,005300,003240,003850,004490,006650,009420,214320,032350,073240,192080,192820,031430,001120,001800,003000,006120,016380,284740,069260,079160,103140,161890,241590,020000,000070,001680,003520,005440,006040,383800,057050,105630,114090,192400,049770,002350,003230,007570,108670,064960,071840,042670
2021-11-30,425645495815000,82992269610000,62584353495000,58820685000000,54375186012000,48991086042000,47309996640000,41772130558500,31537268396600,31170445947200,28555055496000,24625142135000,22755763935000,21954658176000,21458250000000,20853367227000,19716587045500,18901322517000,18258497071500,17984552198000,17900174546100,16461579638000,14950688982000,14234022796500,13320754597750,12436500384000,12200457150000,12332397851200,11926406348000,11960000000000,11859561449000,11541332105600,11244255504300,11103714300000,11086775556000,10056559734000,9869575764000,9619794828000,9569717074000,9217251862500,9173562917400,9312345000000,9183363163000,8995365080800,7911687782400,7666296046100,7497923004000,7463252725000,7206634081500,7120532430000,6912710000000,6906496928500,6312190401000,6192647650000,5916083941550,5925242297500,5451014780640,5456250000000,5329181844000,4921924813000,4950838623500,4996234206300,4722492105000,4756802649600,4706691000000,4461600000000,4178734196500,4196167197600,4067000000000,4044437030200,3960455000000,3838958417200,3986242117000,3778946962500,3759621012950,3668368504450,3809040000000,3484326675000,3629019809200,3550508043600,3401399925000,3377888110000,3371961011100,3398426936315,3140840683000,3160490000000,3225566005500,3183726000000,3235570650000,2974705396000,3049766205000,2958281296500,3042367873000,2828730656000,2770917342600,2763724377040,2792939583000,2756008281000,2599581439000,2661070421100,2679008904000,2663763384900,2607481968000,2443779525000,2547665284000,2496394582500,2556402517500,2449288420000,2410170750000,2568554464000,2523450276000,2478414453900,2237518239750,2334159840000,2391118550100,2231893566060,2307115286300,2362111042500,2056200000000,2141326867500,2058109500000,2139140549000,2123290158900,2217933315050,2172496364000,2062789337700,2033874719000,2014980000000,1934592097300,2030977986400,1947167942800,1906927762500,1792836097500,1796587182000,1717069385000,1741500000000,1743206171000,1541651416200,1663602587000,1582630000000,1599147725500,1570303791100,1511959689800,1606077765850,1535221187500,1575000000000,1438268886000,1355144865400,1370872464000,1346852928400,1361179971600,1173529504000,1164169280000,1188818829130,1156893966000,1216879543500,1244972021800,1248235550000,1181400000000,1215533804000,1022101200000,989136000000,1045800000000,1108250000000,997796185800,1030000000000,1104946808900,1131805530780,1023459761400,1029400466300,996030000000,897294000000,920887703400,845650283100,836713727250,959085322230,853740406500,882977500800,850009552000,801494350800,846603660000,911590615250,864513000000,780205088100,743200136250,746202342480,780658811180,775982251000,665930423700,734400000000,798000000000,723711339000,645453657750,700431006000,605540837400,594354883500,513404361600,503983054000,609053614400,550059689600,610034904180
